,Temperatures,Chain_indices,Potential_energy
0,50.27582710011483,0,103.07763025538289
1,50.27582710011483,1,118.41662622929383
2,50.27582710011483,2,121.04393096182912
3,50.27582710011483,3,122.18020799039223
4,50.27582710011483,4,126.82068035759828
5,50.27582710011483,5,126.82068035759828
6,50.27582710011483,6,116.3976421191896
7,50.27582710011483,7,116.3976421191896
8,50.27582710011483,8,116.3976421191896
9,50.27582710011483,9,112.44353469544615
10,50.27582710011483,0,111.64719323942083
11,50.27582710011483,1,102.53045745530143
12,50.27582710011483,2,96.88579553586393
13,50.27582710011483,3,96.88579553586393
14,50.27582710011483,4,96.88579553586393
15,50.27582710011483,5,99.24579172477291
16,50.27582710011483,6,101.0748918491154
17,50.27582710011483,7,100.26339533450553
18,50.27582710011483,8,100.26339533450553
19,50.27582710011483,9,100.26339533450553
20,50.27582710011483,0,95.83743405087124
21,50.27582710011483,1,95.83743405087124
22,50.27582710011483,2,95.83743405087124
23,50.27582710011483,3,91.77415558123884
24,50.27582710011483,4,91.77415558123884
25,50.27582710011483,5,94.06176351773601
26,50.27582710011483,6,94.06176351773601
27,50.27582710011483,7,97.88983303906379
28,50.27582710011483,8,92.88026916053502
29,50.27582710011483,9,92.88026916053502
30,50.27582710011483,0,92.88026916053502
31,50.27582710011483,1,92.88026916053502
32,50.27582710011483,2,103.59676966923548
33,50.27582710011483,3,103.59676966923548
34,50.27582710011483,4,103.59676966923548
35,50.27582710011483,5,103.59676966923548
36,50.27582710011483,6,103.59676966923548
37,50.27582710011483,7,110.10873560386499
38,50.27582710011483,8,110.10873560386499
39,50.27582710011483,9,110.10873560386499
40,50.27582710011483,0,108.02215229594525
41,50.27582710011483,1,108.02215229594525
42,50.27582710011483,2,108.02215229594525
43,50.27582710011483,3,121.17861283582025
44,50.27582710011483,4,121.17861283582025
45,50.27582710011483,5,123.56554050577657
46,50.27582710011483,6,117.05784447645757
47,50.27582710011483,7,122.19803595098217
48,50.27582710011483,8,130.4956222330557
49,50.27582710011483,9,130.4956222330557
50,50.27582710011483,0,130.4956222330557
51,50.27582710011483,1,137.86231154371865
52,50.27582710011483,2,146.02044088569704
53,50.27582710011483,3,146.02044088569704
54,50.27582710011483,4,146.02044088569704
55,50.27582710011483,5,139.86457954643078
56,50.27582710011483,6,139.86457954643078
57,50.27582710011483,7,139.86457954643078
58,50.27582710011483,8,138.00707490922505
59,50.27582710011483,9,134.25144055829082
60,50.27582710011483,0,133.95634459527923
61,50.27582710011483,1,125.19273807763969
62,50.27582710011483,2,137.6829562157082
63,50.27582710011483,3,137.6829562157082
64,50.27582710011483,4,117.60973891327217
65,50.27582710011483,5,117.60973891327217
66,50.27582710011483,6,129.1307952645369
67,50.27582710011483,7,129.1307952645369
68,50.27582710011483,8,142.1439053243498
69,50.27582710011483,9,156.27650011937905
70,50.27582710011483,0,167.296108519474
71,50.27582710011483,1,162.55248594782174
72,50.27582710011483,2,157.47946966247704
73,50.27582710011483,3,157.47946966247704
74,50.27582710011483,4,142.18109003646916
75,50.27582710011483,5,112.94122272487057
76,50.27582710011483,6,112.94122272487057
77,50.27582710011483,7,112.94122272487057
78,50.27582710011483,8,99.99479838050722
79,50.27582710011483,9,95.87908747940013
80,50.27582710011483,0,97.83824473788356
81,50.27582710011483,1,101.94062371327277
82,50.27582710011483,2,96.60097866954845
83,50.27582710011483,3,98.21410052534307
84,50.27582710011483,4,102.03480685514712
85,50.27582710011483,5,102.03480685514712
86,50.27582710011483,6,102.03480685514712
87,50.27582710011483,7,102.03480685514712
88,50.27582710011483,8,103.05011092144882
89,50.27582710011483,9,103.05011092144882
90,50.27582710011483,0,103.05011092144882
91,50.27582710011483,1,95.98275692125746
92,50.27582710011483,2,93.23941642624062
