,Temperatures,Chain_indices,Potential_energy
283,50.0,83,6237.607648435928
284,50.0,84,6237.512615737916
285,50.0,85,6236.7277423127225
286,50.0,86,6236.588728821068
287,50.0,87,6236.561665047984
288,50.0,88,6236.505569735388
289,50.0,89,6236.494310648259
290,50.0,90,6236.461554420435
291,50.0,91,6236.108639975128
292,50.0,92,6234.931038597794
293,50.0,93,6233.997619193231
294,50.0,94,6233.935928505043
295,50.0,95,6233.7959285790885
296,50.0,96,6233.574249356429
297,50.0,97,6233.370541477018
298,50.0,98,6233.166411301519
299,50.0,99,6232.957110116365
300,50.0,0,6232.875533965917
301,50.0,1,6231.685171078833
302,50.0,2,6231.657141354466
303,50.0,3,6230.851952049821
304,50.0,4,6230.672254599908
305,50.0,5,6230.645229431519
306,50.0,6,6230.549826410786
307,50.0,7,6230.101645672737
308,50.0,8,6229.979626275716
309,50.0,9,6229.939928590858
310,50.0,10,6229.458986035498
311,50.0,11,6229.03775329132
312,50.0,12,6228.470852293017
313,50.0,13,6227.699595512406
314,50.0,14,6227.492813468404
315,50.0,15,6226.9723574855425
316,50.0,16,6226.938903312221
317,50.0,17,6226.50778517842
318,50.0,18,6225.987690356188
319,50.0,19,6225.940663565665
320,50.0,20,6225.9401572940415
321,50.0,21,6224.958687885111
322,50.0,22,6224.398887615245
323,50.0,23,6224.09197444928
324,50.0,24,6223.688962538019
325,50.0,25,6223.5983999454975
326,50.0,26,6219.335337298017
327,50.0,27,6219.086943990584
328,50.0,28,6218.888955238282
329,50.0,29,6218.481947002002
330,50.0,30,6218.144679804642
331,50.0,31,6218.056904932632
332,50.0,32,6217.905082047861
333,50.0,33,6217.823579744259
334,50.0,34,6217.577656546147
335,50.0,35,6217.564342087072
336,50.0,36,6217.381328216566
337,50.0,37,6216.484827278285
338,50.0,38,6216.223465935174
339,50.0,39,6216.051575678635
340,50.0,40,6215.383347711141
341,50.0,41,6215.233589248734
342,50.0,42,6215.176003382147
343,50.0,43,6214.928596689266
344,50.0,44,6214.876954031042
345,50.0,45,6213.758367633391
346,50.0,46,6213.560556073384
347,50.0,47,6213.342928364341
348,50.0,48,6213.2117490810415
349,50.0,49,6211.805922945693
350,50.0,50,6210.465878318864
351,50.0,51,6210.160986725988
352,50.0,52,6210.123870470066
353,50.0,53,6209.744470199397
354,50.0,54,6209.260216526251
355,50.0,55,6209.1424843874
356,50.0,56,6208.896840995968
357,50.0,57,6208.872018812947
358,50.0,58,6208.575347664381
359,50.0,59,6208.362008295492
360,50.0,60,6208.356767601543
361,50.0,61,6208.038286590008
362,50.0,62,6207.862468065952
363,50.0,63,6207.777962634507
364,50.0,64,6207.383269994643
365,50.0,65,6206.831729986625
366,50.0,66,6206.781603343603
367,50.0,67,6206.512190158985
368,50.0,68,6206.419632168889
369,50.0,69,6206.388801072717
370,50.0,70,6204.820546979774
371,50.0,71,6204.71118244452
372,50.0,72,6204.677904450298
373,50.0,73,6204.649643421182
374,50.0,74,6204.556311155757
375,50.0,75,6203.905880176564
376,50.0,76,6203.771954310681
377,50.0,77,6203.745638467164
378,50.0,78,6203.6879749112795
379,50.0,79,6203.67690060056
380,50.0,80,6203.6465883659475
381,50.0,81,6203.323831086202
382,50.0,82,6202.366911497507
383,50.0,83,6201.471583917086
384,50.0,84,6201.40739803673
385,50.0,85,6201.28815943968
386,50.0,86,6201.080456973403
387,50.0,87,6200.930252227614
388,50.0,88,6200.727742763034
389,50.0,89,6200.528371967675
390,50.0,90,6200.454485250057
391,50.0,91,6199.39095289595
392,50.0,92,6199.364879558623
393,50.0,93,6198.6190631228765
394,50.0,94,6198.44568917437
395,50.0,95,6198.421389731244
396,50.0,96,6198.326354408944
397,50.0,97,6197.966924015065
398,50.0,98,6197.8613225347835
399,50.0,99,6197.8228704972535
400,50.0,0,6197.452899610842
401,50.0,1,6197.031410508793
402,50.0,2,6196.484392454318
403,50.0,3,6195.785820347495
404,50.0,4,6195.610579953649
405,50.0,5,6195.13828147634
406,50.0,6,6195.105228424451
407,50.0,7,6194.699772561713
408,50.0,8,6194.278018977027
409,50.0,9,6194.243082660987
410,50.0,10,6194.242645106087
411,50.0,11,6193.420871002105
412,50.0,12,6192.907935862158
413,50.0,13,6192.640299884035
414,50.0,14,6192.299159006352
415,50.0,15,6192.2087959273995
416,50.0,16,6190.812002006482
417,50.0,17,6190.587935847174
418,50.0,18,6190.415024871536
419,50.0,19,6190.00870126339
420,50.0,20,6189.682742233339
421,50.0,21,6189.610358368865
422,50.0,22,6189.464074931015
423,50.0,23,6189.387066240294
424,50.0,24,6189.198097378615
