,Temperatures,Chain_indices,Potential_energy
0,50.0,0,171.47108738931365
1,50.0,1,171.47108738931365
2,50.0,2,166.14147899652536
3,50.0,3,166.14147899652536
4,50.0,4,166.14147899652536
5,50.0,5,143.6036458092429
6,50.0,6,147.99684473983206
7,50.0,7,146.97206860188476
8,50.0,8,146.97206860188476
9,50.0,9,148.2524880771086
10,50.0,0,144.5864685536351
11,50.0,1,120.38311122856747
12,50.0,2,118.37211253082712
13,50.0,3,117.34060892333056
14,50.0,4,117.34060892333056
15,50.0,5,117.34060892333056
16,50.0,6,97.67567060110052
17,50.0,7,97.44151527970944
18,50.0,8,97.44151527970944
19,50.0,9,97.44151527970944
20,50.0,0,94.20409026141363
21,50.0,1,94.20409026141363
22,50.0,2,94.20409026141363
23,50.0,3,93.46270308079843
24,50.0,4,93.46270308079843
25,50.0,5,93.46270308079843
26,50.0,6,84.6056708605824
27,50.0,7,88.23091905796144
28,50.0,8,89.30144396016287
29,50.0,9,89.30144396016287
30,50.0,0,89.30144396016287
31,50.0,1,89.30144396016287
32,50.0,2,89.30144396016287
33,50.0,3,86.08530383181517
34,50.0,4,86.08530383181517
35,50.0,5,86.08530383181517
36,50.0,6,86.08530383181517
37,50.0,7,93.02297281781128
38,50.0,8,93.02297281781128
39,50.0,9,93.02297281781128
40,50.0,0,93.02297281781128
41,50.0,1,93.02297281781128
42,50.0,2,95.31081040036386
43,50.0,3,95.31081040036386
44,50.0,4,84.67615220970012
45,50.0,5,92.53367969432534
46,50.0,6,92.53367969432534
47,50.0,7,99.98859112903172
48,50.0,8,95.57120490847299
49,50.0,9,94.10952129603696
50,50.0,0,94.10952129603696
51,50.0,1,94.8825304473675
52,50.0,2,94.8825304473675
53,50.0,3,99.84758609206742
54,50.0,4,99.84758609206742
55,50.0,5,99.84758609206742
56,50.0,6,99.84758609206742
57,50.0,7,97.50650576535914
58,50.0,8,100.02420897508556
59,50.0,9,101.69497720395046
60,50.0,0,101.69497720395046
61,50.0,1,107.22886467956528
62,50.0,2,104.03505609537476
63,50.0,3,104.03505609537476
64,50.0,4,104.03505609537476
65,50.0,5,93.8962533271997
66,50.0,6,88.78784438781236
67,50.0,7,91.67362706611017
68,50.0,8,100.60954019973089
69,50.0,9,97.26362419601479
