,Temperatures,Chain_indices,Potential_energy
198,49.4959595959596,8,100.70887128299162
199,49.4959595959596,9,100.70887128299162
200,49.4959595959596,0,98.51438354848196
201,49.4959595959596,1,89.07155458101877
202,49.4959595959596,2,100.20994562858668
203,49.4959595959596,3,94.73091160565103
204,49.4959595959596,4,93.6288813142042
205,49.4959595959596,5,84.42890242589229
206,49.4959595959596,6,84.42890242589229
207,49.4959595959596,7,88.81656945435853
208,49.4959595959596,8,84.73146684894786
209,49.4959595959596,9,85.1380285574406
210,49.4959595959596,0,95.24453008919656
211,49.4959595959596,1,91.30151018309755
212,49.4959595959596,2,91.30151018309755
213,49.4959595959596,3,100.36010529946633
214,49.4959595959596,4,96.18210328648539
215,49.4959595959596,5,96.18210328648539
216,49.4959595959596,6,91.42814021071229
217,49.4959595959596,7,91.42814021071229
218,49.4959595959596,8,93.80293064917194
219,49.4959595959596,9,84.35764328081386
220,49.4959595959596,0,83.91430126003522
221,49.4959595959596,1,83.91430126003522
222,49.4959595959596,2,88.47492925175322
223,49.4959595959596,3,88.47492925175322
224,49.4959595959596,4,88.47492925175322
225,49.4959595959596,5,87.36145732288114
226,49.4959595959596,6,87.36145732288114
227,49.4959595959596,7,87.36145732288114
228,49.4959595959596,8,87.36145732288114
229,49.4959595959596,9,87.36145732288114
230,49.4959595959596,0,82.37628427208854
231,49.4959595959596,1,88.10964405343441
232,49.4959595959596,2,91.57028892183679
233,49.4959595959596,3,93.82764842601573
234,49.4959595959596,4,93.82764842601573
235,49.4959595959596,5,96.68498124333867
236,49.4959595959596,6,99.56282344652898
237,49.4959595959596,7,99.56282344652898
238,49.4959595959596,8,100.44268119103334
239,49.4959595959596,9,102.81615464988457
240,48.991919191919195,0,102.81615464988457
241,48.991919191919195,1,102.81615464988457
242,48.991919191919195,2,102.81615464988457
243,48.991919191919195,3,102.81615464988457
244,48.991919191919195,4,102.81615464988457
245,48.991919191919195,5,102.81615464988457
246,48.991919191919195,6,106.81117588319246
247,48.991919191919195,7,106.81117588319246
248,48.991919191919195,8,119.03240211587858
249,48.991919191919195,9,119.03240211587858
250,48.991919191919195,0,108.45813784791837
251,48.991919191919195,1,108.45813784791837
252,48.991919191919195,2,110.693201735527
253,48.991919191919195,3,110.693201735527
254,48.991919191919195,4,110.693201735527
255,48.991919191919195,5,112.67612169232558
256,48.991919191919195,6,112.67612169232558
257,48.991919191919195,7,112.67612169232558
258,48.991919191919195,8,112.67612169232558
259,48.991919191919195,9,112.67612169232558
260,48.991919191919195,0,107.27493820089009
261,48.991919191919195,1,107.27493820089009
262,48.991919191919195,2,107.27493820089009
263,48.991919191919195,3,106.10322347678984
264,48.991919191919195,4,99.94494521713875
265,48.991919191919195,5,99.94494521713875
266,48.991919191919195,6,99.94494521713875
267,48.991919191919195,7,99.94494521713875
268,48.991919191919195,8,97.72463831229146
269,48.991919191919195,9,99.7290774040917
270,48.991919191919195,0,99.7290774040917
271,48.991919191919195,1,99.7290774040917
272,48.991919191919195,2,97.59482449035633
273,48.991919191919195,3,90.75422823119719
274,48.991919191919195,4,90.75422823119719
275,48.991919191919195,5,90.46247576672087
276,48.991919191919195,6,90.46247576672087
277,48.991919191919195,7,93.84446523831325
278,48.991919191919195,8,97.07941978556842
279,48.991919191919195,9,96.64966344889517
280,48.991919191919195,0,95.67748717358543
281,48.991919191919195,1,96.45220289112216
282,48.991919191919195,2,94.20804984915243
283,48.991919191919195,3,94.20804984915243
284,48.991919191919195,4,99.16956057336144
285,48.991919191919195,5,99.16956057336144
286,48.991919191919195,6,99.16956057336144
287,48.991919191919195,7,99.16956057336144
288,48.991919191919195,8,99.16956057336144
289,48.991919191919195,9,95.98706926108207
290,48.991919191919195,0,95.98706926108207
291,48.991919191919195,1,109.85109370105585
292,48.991919191919195,2,109.85109370105585
293,48.991919191919195,3,114.3747974655116
294,48.991919191919195,4,94.09903296743525
295,48.991919191919195,5,102.38213761877658
296,48.991919191919195,6,102.38213761877658
297,48.991919191919195,7,102.38213761877658
298,48.991919191919195,8,106.09819834443908
299,48.991919191919195,9,91.11674487540667
300,48.991919191919195,0,91.11674487540667
301,48.991919191919195,1,86.8048039968263
302,48.991919191919195,2,86.8048039968263
303,48.991919191919195,3,80.27931236242806
304,48.991919191919195,4,82.946376894233
305,48.991919191919195,5,82.946376894233
306,48.991919191919195,6,82.946376894233
307,48.991919191919195,7,82.946376894233
308,48.991919191919195,8,81.41948171940614
309,48.991919191919195,9,81.41948171940614
310,48.991919191919195,0,84.35310950890592
311,48.991919191919195,1,84.35310950890592
312,48.991919191919195,2,84.35310950890592
313,48.991919191919195,3,84.35310950890592
314,48.991919191919195,4,88.14775631093424
315,48.991919191919195,5,88.14775631093424
316,48.991919191919195,6,88.14775631093424
317,48.991919191919195,7,87.73073351774615
318,48.991919191919195,8,84.67576937744249
319,48.991919191919195,9,84.67576937744249
320,48.991919191919195,0,84.67576937744249
321,48.991919191919195,1,84.67576937744249
